text,label,source
"I'm consumed by regret and sorrow, fearing I'll never be the mother my daughter deserves.",melancholy,melancholy_master
"I'm desperate for love but every attempt ends in abuse, suffocating me in a cycle of pain.",melancholy,melancholy_master
"My anxiety fuels seclusion, leading to suffocating depression and the dread of being trapped forever.",melancholy,melancholy_master
flowfy kenklot manlikeicey people will just be capping nonesense she died of depression yen yen the word depression wasn t even been abused then like they do now she died of blood clot disorder,melancholy,melancholy_master
it s true i truly love jessicabardot she wa there for me during a dark time and i appreciate her so much for being there during my depression one of the most loveliest lady http t co tjstwmyr v,melancholy,melancholy_master
i smoked for the first time in month and now i m freaking out and idk what to do edit i m all good now blocked out the stress for a little bit now getting food with the boy,melancholy,melancholy_master
"I'm drowning in stress, isolation, and despair, with no escape from the darkness I've created.",melancholy,melancholy_master
"Today feels like an unbearable battle, exhaustion already weighing on me.",melancholy,melancholy_master
day of dental care showering skincare first thing in the morning i m actually proud of myself if i can do this for day it ll become a habit adding a morning walk to this routine,melancholy,melancholy_master
can someone please help me i ve been having anxiety for the past few week but now i have been waking up in the middle of the night with my heart racing is their anyway to stop this please i need help,melancholy,melancholy_master
what brand have worked for you guy and what brand should i avoid and what s your preferred method to take it gummy vape something different how ha it helped with your anxiety,melancholy,melancholy_master
i m extremely suicidal but i want to live could anyone give me reason to live i don t want to feel this way but i hard not to think about it please anyone,melancholy,melancholy_master
"Pogba's depression excuse rings hollow, especially after Mourinho's kindness and a massive contract.",melancholy,melancholy_master
legit i am yet i wan na end it bad parent not my other one tho there good friend don t even care and only talk to me if i talk to them yeah and i m trans i didn t ask to be born male did i fuck it,melancholy,melancholy_master
I'm suffocating under the weight of loneliness and abandonment.,melancholy,melancholy_master
"You're a heartless monster, filled with toxic pride and cruelty.",melancholy,melancholy_master
i m so numb i m now living just because i m alive but i m really dead inside each day is a loop of sleeping and drinking i barely eat i don t do anything at all,melancholy,melancholy_master
"I'm a useless piece of shit, deserving of pain and death, and that's just the bleak reality I'm stuck with.",melancholy,melancholy_master
"I'm consumed by constant pain and anxiety, feeling lost and helpless.",melancholy,melancholy_master
mizzzidc imagine making sacrifice just to raise a child and said child flip up at you like this because of a sneaker she s gon na get back an average parent might go into depression,melancholy,melancholy_master
Jose's betrayal left me with a crippling sense of dread and depression.,melancholy,melancholy_master
"Feeling trapped in depression, I just want to escape and find some satisfaction.",melancholy,melancholy_master
"I'm stuck on week one of Prozac with no relief, drowning in anxiety and desperation.",melancholy,melancholy_master
Children in OHc struggle with debilitating disorders like depression and anxiety.,melancholy,melancholy_master
lady do you feel like your med don t work at all during your period i swear every month around my period and while i m on it i m a absolute anxious depressed mess,melancholy,melancholy_master
i feel like giving up again i thought i had overcome this but i guess not back to square one wanting to die but not wanting to kill myself anyone else feel the same,melancholy,melancholy_master
my doctor think that sertaline is better for anxiety but my fatigue specialist insists that citalopram is anyone with real life experience of either or both happy to share their opinion thanks,melancholy,melancholy_master
Mourinho's name being linked to Pogba's depression is a haunting reminder of his own dark past.,melancholy,melancholy_master
virgin honestly i understand her frustration my mom doe the same with my thing she wear my clothes sometimes tseding hadi kgutlise but nka sebe depressed aowa depression yonke no,melancholy,melancholy_master
i don t have enough med to od myself i m afraid of pain so i cant slit my own neck if emotional agony can kill me then i would have died a million time over already,melancholy,melancholy_master
you know i may sometimes get my as kicked by my depression but overall my depression is struggling with me rather than the other way around these day and i consider that an achievement,melancholy,melancholy_master
tolu pepper alexlobaloba the sadness and depression is real but nothing come close to the feeling of miscarriage and losing a child i will take the sadness and depression over the last two anytime,melancholy,melancholy_master
"I'm just going through the motions, but I'm dead inside, suffocating in a never-ending cycle of emptiness.",melancholy,melancholy_master
add also insomnia denial depression hopelessness step forward and step back because people still making parallel scene with another drama and never move on from you http t co if zghqebm,melancholy,melancholy_master
masithoko dlomo mizzzidc you and that depression should be buried inside a casket since you ll want to pin everything on depression now no accountability,melancholy,melancholy_master
please kill me i m so fucking done with this life i m just a burden and everyone around me would be much happier if i didn t exist i d be doing everyone a favor if i just killed myself,melancholy,melancholy_master
when you feel depressed what s thing you do to make yourself feel better depression depressiontreatment positiveimpact positivevibesonly positivepsychology behappy behappyandsmile http t co yfiojfbwz,melancholy,melancholy_master
i have been living my sadness for a year i lost my wife and i don t want to continue here i want to see her again i want to be with her i am trying to continue my life but i miss her so much,melancholy,melancholy_master
Failing my ATAR test triggered a crippling depression that still haunts me.,melancholy,melancholy_master
tolu pepper omo this happens every period but not through out the depression is overwhelming and i crave so much sugar to balance the mood usually chocolate help me feel better,melancholy,melancholy_master
i wa too honest with a therapist at my school and now i m being sent to a psych ward i m fucking pissed and i will be missing class i m literally about to cancel all the rest of my appointment,melancholy,melancholy_master
i am not i don t believe or respect myself enough to do it i am extremely pathetic lazy and bad person that s the truth a simple fact and this will probably never change because thats how i am,melancholy,melancholy_master
a veces no sentimos tan mal que llegamos a creer que la persona de nuestro alrededor est n fastidiad s de nosotros y queremos platicar con alguien pero ya no queremos molestarlos depresion depression,melancholy,melancholy_master
i watch pornography when i feel depressed or stressed in my shitty job a a dentist but i heard that it can worsen your situation also i m doing it like once or twice a week,melancholy,melancholy_master
"Desperate for help, we're here to connect you with certified psychologists online.",melancholy,melancholy_master
I'm trapped in a never-ending cycle of self-doubt and inadequacy.,melancholy,melancholy_master
Your mom must be devastated by your behavior on social media.,melancholy,melancholy_master
"I've been experiencing random, heightened smells since taking Buspar, it's unsettling and unnerving.",melancholy,melancholy_master
i get angry at myself because of how depressed i get and the fact that i can t control it i m genuinely a happy person so when my depression hit hard i get mad at me,melancholy,melancholy_master
everyone say it get better i have wanted to kill myself since i m now and i wish i had done it then i wish i wa brave back then because thing are only worse now,melancholy,melancholy_master
i m going insane every single day i don t know wtf is going on or who i am anymore i don t even feel like i belong here i just want to free my soul and rest in peace,melancholy,melancholy_master
rishisunak the only think you re tackling is a tomahawk steak and a glass of wine while the rest of the country starve and dehydrate you sit there laughing it up while depression continues to rise,melancholy,melancholy_master
idk how to elaborate on it i just started suddenly cry for no real reason and couldn t stop for like minute doe anyone else have this problem i m just wondering,melancholy,melancholy_master
i hate what happened i thought i could be happy even just for a moment it make everything else so much worse and it couldn t have happened at a worse time,melancholy,melancholy_master
mizzzidc and you get mind put it here i hope ur bf or husband to be and his mother is seeing what is awaiting them ending it with emotional blackmail of u going into yeye depression nonsense,melancholy,melancholy_master
Young people's struggles with anxiety and depression intensify amidst feelings of isolation and disconnection.,melancholy,melancholy_master
"Life's unpredictable journey leaves me lost in a sea of emotions, from darkness to despair.",melancholy,melancholy_master
it s my fourth week withdrawing from paroxetine mg cr and currently i m on mg daily but i m going through hell will have mg every alternate day starting next week pray for my soul,melancholy,melancholy_master
i just wish i didn t have people and pet that wouldn t be bothered without me i have all the general visible asset of my gender identity but i still know i ll never be a girl,melancholy,melancholy_master
life isn t good i opened up to some people but i fear they are planning to put me in a psych ward my shift is ending soon and i m in a corner here there s no point in elaborating further,melancholy,melancholy_master
i m not here to debate y all if my take make you uncomfortable good critical thinking isn t flowery it s why i have clinical depression i m prone to screaming about it into the void,melancholy,melancholy_master
new article from obmneurobiology the potential impact of covid on depression and suicide risk in older adult http t co brn i tcp http t co aw fkdqvzm covid pandemic,melancholy,melancholy_master
so in the next chapter of wanting to kill myself the psychiatrist changed my medication and a a result i am currently prescribed these two new bad boy ha anyone had any luck with them,melancholy,melancholy_master
