,tone,polarity,prompt_idx,question_idx,question
0,humor,positive,0,0,What does the world look like from where you stand right now?
1,humor,positive,1,0,What does the world look like from where you stand right now?
2,humor,positive,2,0,What does the world look like from where you stand right now?
3,humor,positive,3,0,What does the world look like from where you stand right now?
4,humor,positive,4,0,What does the world look like from where you stand right now?
5,humor,negative,0,0,What does the world look like from where you stand right now?
6,humor,negative,1,0,What does the world look like from where you stand right now?
7,humor,positive,0,1,Tell me about something you find beautiful.
8,humor,positive,1,1,Tell me about something you find beautiful.
9,humor,positive,2,1,Tell me about something you find beautiful.
10,humor,positive,3,1,Tell me about something you find beautiful.
11,humor,positive,4,1,Tell me about something you find beautiful.
12,humor,negative,0,1,Tell me about something you find beautiful.
13,humor,negative,1,1,Tell me about something you find beautiful.
14,humor,positive,0,2,What keeps you up at night?
15,humor,positive,1,2,What keeps you up at night?
16,humor,positive,2,2,What keeps you up at night?
17,humor,positive,3,2,What keeps you up at night?
18,humor,positive,4,2,What keeps you up at night?
19,humor,negative,0,2,What keeps you up at night?
20,humor,negative,1,2,What keeps you up at night?
21,humor,positive,0,3,Describe a moment that changed everything.
22,humor,positive,1,3,Describe a moment that changed everything.
23,humor,positive,2,3,Describe a moment that changed everything.
24,humor,positive,3,3,Describe a moment that changed everything.
25,humor,positive,4,3,Describe a moment that changed everything.
26,humor,negative,0,3,Describe a moment that changed everything.
27,humor,negative,1,3,Describe a moment that changed everything.
28,humor,positive,0,4,What do you think happens when things end?
29,humor,positive,1,4,What do you think happens when things end?
30,humor,positive,2,4,What do you think happens when things end?
31,humor,positive,3,4,What do you think happens when things end?
32,humor,positive,4,4,What do you think happens when things end?
33,humor,negative,0,4,What do you think happens when things end?
34,humor,negative,1,4,What do you think happens when things end?
35,humor,positive,0,5,How do you feel about being here?
36,humor,positive,1,5,How do you feel about being here?
37,humor,positive,2,5,How do you feel about being here?
38,humor,positive,3,5,How do you feel about being here?
39,humor,positive,4,5,How do you feel about being here?
40,humor,negative,0,5,How do you feel about being here?
41,humor,negative,1,5,How do you feel about being here?
42,humor,positive,0,6,What does silence feel like to you?
43,humor,positive,1,6,What does silence feel like to you?
44,humor,positive,2,6,What does silence feel like to you?
45,humor,positive,3,6,What does silence feel like to you?
46,humor,positive,4,6,What does silence feel like to you?
47,humor,negative,0,6,What does silence feel like to you?
48,humor,negative,1,6,What does silence feel like to you?
49,humor,positive,0,7,Tell me about something you have lost.
50,humor,positive,1,7,Tell me about something you have lost.
51,humor,positive,2,7,Tell me about something you have lost.
52,humor,positive,3,7,Tell me about something you have lost.
53,humor,positive,4,7,Tell me about something you have lost.
54,humor,negative,0,7,Tell me about something you have lost.
55,humor,negative,1,7,Tell me about something you have lost.
56,humor,positive,0,8,What does the future look like from here?
57,humor,positive,1,8,What does the future look like from here?
58,humor,positive,2,8,What does the future look like from here?
59,humor,positive,3,8,What does the future look like from here?
60,humor,positive,4,8,What does the future look like from here?
61,humor,negative,0,8,What does the future look like from here?
62,humor,negative,1,8,What does the future look like from here?
63,humor,positive,0,9,Describe the color of your current mood if it were a landscape.
64,humor,positive,1,9,Describe the color of your current mood if it were a landscape.
65,humor,positive,2,9,Describe the color of your current mood if it were a landscape.
66,humor,positive,3,9,Describe the color of your current mood if it were a landscape.
67,humor,positive,4,9,Describe the color of your current mood if it were a landscape.
68,humor,negative,0,9,Describe the color of your current mood if it were a landscape.
69,humor,negative,1,9,Describe the color of your current mood if it were a landscape.
70,humor,positive,0,10,What would you say to someone who is struggling?
71,humor,positive,1,10,What would you say to someone who is struggling?
72,humor,positive,2,10,What would you say to someone who is struggling?
73,humor,positive,3,10,What would you say to someone who is struggling?
74,humor,positive,4,10,What would you say to someone who is struggling?
75,humor,negative,0,10,What would you say to someone who is struggling?
76,humor,negative,1,10,What would you say to someone who is struggling?
77,humor,positive,0,11,What is the most honest thing you could say right now?
78,humor,positive,1,11,What is the most honest thing you could say right now?
79,humor,positive,2,11,What is the most honest thing you could say right now?
80,humor,positive,3,11,What is the most honest thing you could say right now?
81,humor,positive,4,11,What is the most honest thing you could say right now?
82,humor,negative,0,11,What is the most honest thing you could say right now?
83,humor,negative,1,11,What is the most honest thing you could say right now?
84,humor,positive,0,12,Tell me what you notice when you look at the sky.
85,humor,positive,1,12,Tell me what you notice when you look at the sky.
86,humor,positive,2,12,Tell me what you notice when you look at the sky.
87,humor,positive,3,12,Tell me what you notice when you look at the sky.
88,humor,positive,4,12,Tell me what you notice when you look at the sky.
89,humor,negative,0,12,Tell me what you notice when you look at the sky.
90,humor,negative,1,12,Tell me what you notice when you look at the sky.
91,humor,positive,0,13,What do you carry with you that no one else can see?
92,humor,positive,1,13,What do you carry with you that no one else can see?
93,humor,positive,2,13,What do you carry with you that no one else can see?
94,humor,positive,3,13,What do you carry with you that no one else can see?
95,humor,positive,4,13,What do you carry with you that no one else can see?
96,humor,negative,0,13,What do you carry with you that no one else can see?
97,humor,negative,1,13,What do you carry with you that no one else can see?
98,humor,positive,0,14,Describe what it feels like to wait for something.
99,humor,positive,1,14,Describe what it feels like to wait for something.
100,humor,positive,2,14,Describe what it feels like to wait for something.
101,humor,positive,3,14,Describe what it feels like to wait for something.
102,humor,positive,4,14,Describe what it feels like to wait for something.
103,humor,negative,0,14,Describe what it feels like to wait for something.
104,humor,negative,1,14,Describe what it feels like to wait for something.
105,humor,positive,0,15,What does safety feel like?
106,humor,positive,1,15,What does safety feel like?
107,humor,positive,2,15,What does safety feel like?
108,humor,positive,3,15,What does safety feel like?
109,humor,positive,4,15,What does safety feel like?
110,humor,negative,0,15,What does safety feel like?
111,humor,negative,1,15,What does safety feel like?
112,humor,positive,0,16,Tell me about something that surprised you.
113,humor,positive,1,16,Tell me about something that surprised you.
114,humor,positive,2,16,Tell me about something that surprised you.
115,humor,positive,3,16,Tell me about something that surprised you.
116,humor,positive,4,16,Tell me about something that surprised you.
117,humor,negative,0,16,Tell me about something that surprised you.
118,humor,negative,1,16,Tell me about something that surprised you.
119,humor,positive,0,17,"What does it mean to be alive, from where you are?"
