text,label,source
Wrongfully convicted Every once in a while you hear a story in the news of somebody who was charged for a crime they didn't do. What if I told you that happens in the afterlife aswell?,horror,horror_master
"In forests, a circle of stones appears and disappears, inviting touch by day but unleashing terror by night.",horror,horror_master
How did the dentist become a heart surgeon? His drill slipped.,horror,horror_master
"Sadie Once a day, my wife and I let Sadie out of the basement to hunt birds and rats. But after a few months, child services came and took her.",horror,horror_master
"I heard the rain hitting my window, so I walked over to watch. My window wasn't wet, but the glass was covered in finger prints.",horror,horror_master
"I fall asleep next to my beloved wife, all calm and silent, that scent of her calming my pain. At first I used to return her to the backyard grave every morning, but now it's too much of a bother.",horror,horror_master
"An empty vial arrives, its label bearing the date of a devastating explosion, a chilling reminder of the horrors it once contained.",horror,horror_master
"A hoodie can reveal the truth, and once you see, nothing can be unseen.",horror,horror_master
"Am I the only one left on Earth? ""No"" a crackled voice said on the radio ""But *I'm* about to be"".",horror,horror_master
"Question While I was walking down the street, a woman asked me what was the quickest way to the local cemetery. So I pushed her in front of a bus.",horror,horror_master
Browsing History My internet history has hundreds of violent fantasy porn sites I've never visited. I've lived alone for five years.,horror,horror_master
"The man he needs to be. The feeling of the cold steel pressed against his temple, longing for the inevitable click. How he wishes he could pull the trigger.",horror,horror_master
"You're making out on a couch when the caller says ""no, she likes it more if you use the other hand"".",horror,horror_master
"Your eternal dream begins the moment you die, forever trapped in the reality of your last nightmare.",horror,horror_master
Just to be sure I stood perfectly still. Then my shadow began twitching violently.,horror,horror_master
The doctors discussed pulling the plug today. Why don't they hear my screaming?,horror,horror_master
"A Canadian university's abandoned experimental psychology building stands isolated, its only door shrouded in darkness.",horror,horror_master
Opening a sealed item from your past unleashes memories and a scent that will haunt you forever.,horror,horror_master
"""You ready for leg day? Yesterday's arm day was a work out, but we've got a schedule to keep."" I said to the armless man hanging from the chains in my basement.",horror,horror_master
"Good Elevator Timing I step out of the elevator. After the doors close, I hear the sound of rope snapping and metal colliding with metal.",horror,horror_master
"Arcadia, a US state that vanished with its residents, leaving no memory of its existence.",horror,horror_master
"When Death came for me, I begged her not to take me, my newborn son needed me. Death laughed dryly, “But dear mother, I’m not here for you.”",horror,horror_master
"""Perfect"" I thought as I finished applying the cherry red lipstick I had always thought was so beautiful. ""Oh God, how did you get into my house!"" She screamed as she opened the bathroom door.",horror,horror_master
"You feel a long, warm tongue licking your hand. As you wake up and glance at the other side of the room you see your dog, staring at you, silent.",horror,horror_master
"You wake up alone in a desolate silence, the only sound your own ragged breathing.",horror,horror_master
"I Hate Sleeping. I hate going to bed every night. Every time I wake up, I'm in a new body.",horror,horror_master
The most terrifying thing isn't discovering that God isn't real. It's discovering the human race is his food supply.,horror,horror_master
"A doorway to twisted reality exists for everyone, its presence only revealed years after you unknowingly step through it.",horror,horror_master
"Darkness consumed them, heightening senses that would soon become their worst nightmare.",horror,horror_master
"""Oh my God"" he cried out as he ran towards me, ""I'm not the last human on Earth!"" ""I certainly hope not"" I replied as my fangs ripped into his tender neck.",horror,horror_master
"""With this new diet, the fat melts right off"" she said with a grin. The victim squirmed uncontrollably against his bindings as the crazed fitness instructor lit a match.",horror,horror_master
"A crude smiley face tattoo spreads across your skin, its twisted grin spreading with each passing night.",horror,horror_master
"The Cat Sees Evil When our Pastor visited, our cat started hissing, going berserk, and ran off. My wife found it cowering in a corner, “Don’t trust him” etched in the litter.",horror,horror_master
"How do you stop a zombie if a headshot doesn't work? Please reply quickly, as time is a factor here.",horror,horror_master
"I asked the ghost ""Why do you haunt me?"" The ghost responded ""why did you kill me?""",horror,horror_master
"A groom left his bride hiding, assuming she'd moved on, but she remained, silently waiting.",horror,horror_master
What’s the only thing worse than seeing someone outside your window at night? Realizing that the window is open.,horror,horror_master
"The Zone Duct tape, rope, blindfold, knife : $54.06 . Getting out of the friend zone : Priceless",horror,horror_master
I live alone on the third floor of my apartment building. So who opens my window every night while I'm sleeping?,horror,horror_master
Noises I had grown used to the odd noises emanating from the darkness surrounding my humble cabin in the woods at night.  I found the sudden silence jarring.,horror,horror_master
I like my new kitten very much Iv saved two helpings for tomorrow!,horror,horror_master
"Someone has vanished, leaving only fragmented memories of their existence.",horror,horror_master
"The President's State of the Union Address always includes a chilling, identical word, spoken by every leader halfway through.",horror,horror_master
"For the past 3 weeks, every time my wife sees me she runs away screaming. They really ought to have had me cremated.",horror,horror_master
I woke up to see my son's teddy bear on the pillow next to me. My heart started pounding as I slowly realised that a month ago I had buried it with him.,horror,horror_master
You'll yank your hand away when you feel the wriggling worms or centipedes pressed against your skin.,horror,horror_master
College kids' spring break descent into madness begins at a decrepit cabin in the woods.,horror,horror_master
A rat somehow found it's way into my room today. At least I'll finally have something to eat.,horror,horror_master
"I went to the cemetery today My mother was still there, weeping at my grave.",horror,horror_master
"I've brutally murdered my wife and children. Uh oh, wrong sub.",horror,horror_master
"A dj vu is a glitch in reality, erasing memories of those who no longer exist.",horror,horror_master
"A Phoenix theater screens personalized films of your future, but watching them will haunt your dreams forever.",horror,horror_master
I checked my cameras and saw a man had gone into my house. I hadn't seen him leave.,horror,horror_master
"A piece of steak. That piece of steak was screaming my name, so I stabbed it with my fork. It is silent now.",horror,horror_master
My Granny's cremation was an unsettling time for the whole family. She wouldn't stop screaming.,horror,horror_master
"""I won't let the monster get you,"" I promised my six-year-old daughter. With the horrible images dancing through my mind, I put the noose around my neck and kept my promise.",horror,horror_master
"I gazed off the edge of the bridge and once again thought hard about what it'd be like to die here. ""Guess he'll know soon enough"" I chuckled to myself as I gave the boy a push.",horror,horror_master
"""I wish I hadn't wished for immortality"" Was all I could think as the cell door slammed shut and my life sentence began.",horror,horror_master
"We were just about to leave the room on a wonderful Friday, when the teacher spoke up. ""Oops, I forgot to hand out the homework!""",horror,horror_master
"Pregnant She felt her stomach moving quite a bit today. Then something burst, she could feel them squirming into her chest.",horror,horror_master
"There are a finite number of human souls, but the population keeps rising Makes you wonder what else is filling the bodies, doesn't it?",horror,horror_master
Cut a key from your suicide note and unlock the door to a world where death is just the beginning.,horror,horror_master
"Your soul escapes with every breath, and you're running out of time to inhale it back.",horror,horror_master
"In deafening silence, a maddening ringing echoes, a harbinger of unspeakable horrors that claw to break through.",horror,horror_master
My new puppy keeps bringing me human teeth. I live alone and she's an inside dog.,horror,horror_master
"Victims of rape retreat into catatonic fantasy worlds, unable to wake up until a haunting note reveals their true, horrific fate.",horror,horror_master
"A small, unremarkable grove in the Rocky Mountains remains forever shrouded in eternal darkness, waiting to drive its victims mad.",horror,horror_master
"I missed you I told my wife that I missed her when she walked through the door. Luckily, at that range, I didn't miss a second time.",horror,horror_master
"Lullaby CO. After years of struggling with insomnia, I was able to fall into a deep and serene sleep.  The furnace's blocked exhaust was apparently all I needed.",horror,horror_master
"Nightmares originate from an outside source, defying explanation and striking with unrelenting terror.",horror,horror_master
"My mom told me I have get rid of my disgusting boyfriend. After all, I did kill him three weeks ago.",horror,horror_master
Robert's friends had all been shocked to read his obituary and find out he had been brutally murdered. But Robert was especially troubled by this because the paper was dated for the following week.,horror,horror_master
"Ancient Israelites whispered a forbidden name, unleashing an omnipotent presence that demanded forgiveness for humanity's unforgivable sins.",horror,horror_master
"Guilty When the little girl is finished testifying against me, she rushed back to her weeping father and buries her tear-soaked face against his chest. She bites her lip to keep from laughing.",horror,horror_master
"Chasing the light I've been chasing this light for so long now. I'ts so dark in here, I'm exhausted, but mostly, I'm just sick of being asked to wake up.",horror,horror_master
Unlocking ancestral memories unleashes a torrent of ancient horrors within.,horror,horror_master
Doll My girlfriend told me she never had an abortion. I figured out she was lying when I saw maggots fall out of the porcelain doll on her dresser.,horror,horror_master
"My sister had a smoking problem, But after I closed the stove I hardly noticed the smell",horror,horror_master
Going to her funeral was hard. I was worried that the tetrodotoxin would wear off before they buried her alive.,horror,horror_master
You play a silent game of roulette every time a fleeting darkness envelops you.,horror,horror_master
"You know how sometimes your brain plays tricks on you and you think you see something move just outside your vision, from the corner of your eye? I caught one of those things today.",horror,horror_master
"A lone employee discovers a copy machine spitting out gruesome self-portraits, each depicting their own brutal murder.",horror,horror_master
Tele-vision My eyes were open. But I saw the world flicker.,horror,horror_master
"Everyone always told me that I had my mother's eyes. The funny thing is, now I have her heart too.",horror,horror_master
"Rain Since it's been raining so much lately, I've been staying home most nights. It's a drag for me, but I guess the neighbors are glad that their kids have stopped disappearing.",horror,horror_master
"Reciting ancient words backwards in native tongues summons Elysia, a heaven where forever can be an eternity of horror.",horror,horror_master
A father's joyful call was drowned out by the eerie flapping of a kite that eerily resembled his missing wife.,horror,horror_master
"Within him lies eternal darkness, where terror, sadness, and nothingness await.",horror,horror_master
We were all terrified when the Sun suddenly stopped emiting light. But the worst part was realising we were still alive.,horror,horror_master
"Since that day, my doctor said that I will never again, take another step But my watch says I take 10000 every night, when I should be asleep.",horror,horror_master
"Mental hospitals across America flooded with patients who inexplicably shut down, their identical circumstances shrouded in eerie silence.",horror,horror_master
"A U.S. quarter found in Leon Czolgosz's cell bore an unidentified face, fueling eerie speculation.",horror,horror_master
"When you're blind, you learn to appreciate the small things, like the softness of your wife's hands on your face. I just wish there were only two of them.",horror,horror_master
"Everybody, Clap Your Hands ""Everybody clap your hands!"" I yelled randomly. I thought that I was home alone until I heard someone clap from the attic.",horror,horror_master
You feel the ground rush up to meet you as another you dies in a parallel universe.,horror,horror_master
"In a hidden Indiana WalMart, tapping the frozen food trapdoor three times with your left foot summons a voice demanding a toll for unspeakable horrors.",horror,horror_master
"I started whistling when my lights went out to keep myself calm. But once I stopped, the whistling didn't.",horror,horror_master
Her beautiful green eyes had become a portal to my own damnation.,horror,horror_master
"In West Virginia's American Grill, a sinister secret society awaits those brave enough to order eggs and bacon at the exact, eerie hour.",horror,horror_master
I told my psychologist I hear voices He said I do not have a psychologist,horror,horror_master
Grandma The dementia hit my grandmother terribly. Every evening I try in vain to explain to her that she died two years ago.,horror,horror_master
"""Oh my God,"" I cried out as I ran towards him, ""I'm not the last human on Earth!"" ""No, you are."" It said as it moved closer to me.",horror,horror_master
"It's childish, but when I leave the basement, I always run up the stairs while glancing behind me. I was looking in the wrong direction.",horror,horror_master
"You're one of the chosen, fated to kill the name branded on your navel.",horror,horror_master
"A hitchhiker's eerie wish-granting ritual left Andy shaken, his mind still reeling from the cymbal's haunting echo.",horror,horror_master
I have a new baby boy. I don't think the mother from the abortion clinic will miss him.,horror,horror_master
"My best friend of 30 years has disappeared without a trace. And I don't know what's worse, this horrible medication I'm taking or the fact I haven't seen her since I started taking it.",horror,horror_master
Every family has a cabinet that doesn't open back into their reality.,horror,horror_master
"I'm several months pregnant and can feel the baby kicking. As a man, should I be more worried with where I got it or where it'll come out?",horror,horror_master
I pleaded with him not to kill me for the first few days. The past few years I've been pleading he would.,horror,horror_master
"Repeating the seven hidden Gideon's Bible words unlocks any hotel room, but at a terrible cost.",horror,horror_master
"oh my god help me hes coming , Never mind that last message I'm perfectly fine .",horror,horror_master
"A mother's desperate whisper echoes from the cupboard: ""Don't go into the kitchen, I heard it too.""",horror,horror_master
"I am the fish king, stalking waters to fill you with eternal fright.",horror,horror_master
"All Martians have gray skin, giant black eyes and long webbed fingers. Because human fetuses can't develop properly in lower gravity.",horror,horror_master
A man's day descended into a blood-soaked nightmare as the very world around him turned into a crimson abyss.,horror,horror_master
"A long-dormant mod returns with a chilling conclusion to the Necropotence trilogy, unleashing unholy terror once more.",horror,horror_master
Six Words Horror Story I walked away; my shadow didn't.,horror,horror_master
"Four Taxis It was that very fact, when he saw what he lacked, that the man grasped at his change. But much to his horror, he found himself quartered, as the four taxis drove on their way.",horror,horror_master
"Hide N' Seek The babysitter tried to keep quiet but, the door opened anyway. ""Found you!"" Sang the little boy, the large butcher knife shining in the sudden light.",horror,horror_master
"Something lurks just out of sight, moving closer with every passing moment.",horror,horror_master
"Your own email awaits you at work, with a message from your own hands, sent before you even existed.",horror,horror_master
"Guardian Angel I used to think I was so blessed to have my own guardian angel watching over me. But all that bully did was push me, and now I can't remember what it did to him without vomiting.",horror,horror_master
"Daddy Issues Despite what mom says, my dad never abandoned his family.  However, no one believes me when I tell them about the night he looked under my bed for monsters and they took him.",horror,horror_master
"Body Switch The body I got back from the morgue was not hers. I know because she's still in my basement---parts of her, at least.",horror,horror_master
I've been talking to myself again. I hope someone finds my body soon.,horror,horror_master
When my father died we decided to have him cremated Burying him hadn't worked.,horror,horror_master
There's no such thing as zombies. But that only makes the people eating that family even scarier.,horror,horror_master
"Calling your phone may answer with heavy breathing, but uttering a name with a death wish will seal their gruesome fate.",horror,horror_master
The Mirror I tried to shake the feeling that the image in the mirror wasn't quite me. Then I saw it blink.,horror,horror_master
"In Glacier Canyon's icy depths, madness awaits those who listen to the voice of frozen terror.",horror,horror_master
"Two weeks ago, we sent our first faster-than-light ship out to explore the galaxy. Today it came back empty.",horror,horror_master
"Photo Bomb Everyone in the family took part in the traditional Halloween picture. Turns out, the hanging man in the closet did too.",horror,horror_master
"A waiter's innocuous apology turned sinister as she whispered ""Were all out of garlic bread.""",horror,horror_master
I brushed the stray lock of hair back from her face and kissed her lips with romantic delicacy. Still wishing the rest of her body were there.,horror,horror_master
"A pale figure stirs in the darkness, her voice barely audible as she whispers ""because in my dream, you didn't listen.""",horror,horror_master
"""How's your mother?"" My father asked over the dinner he had prepared.",horror,horror_master
"Your reflection's hair length will be different, a chilling reminder of what lies beyond the glass.",horror,horror_master
Beth smiled at her five year old son before checking under the bed for those monsters Andy insisted were there. 'Mommy?' Andy whispered when she didn't reappear.,horror,horror_master
"Final check Every night before bedtime I make sure and check the front door is locked. Finally, tonight, she'd forgotten, and I could make my way inside the house.",horror,horror_master
